Task_ID,Task_Name,Priority,Deadline,Estimated_Time,Task_Type,Dependency,Employee_ID,Completion_Status,Urgency_Score,Days_Left,Normalized_Urgency,Dependency_Count,Status
653,Planning - Resource Allocation,3,21-03-2026,5,Planning,"123,631,26",304,Complete,1,313,0.1,2,Complete
1596,Analysis - API Optimization,3,03-10-2025,4,Analysis,"1300,635,764",451,Complete,8,144,0.8,1,Complete
1229,Meeting - Client Call,1,09-08-2025,8,Meeting,,440,Complete,6,89,0.6,0,Complete
4890,Planning - Roadmap,1,03-11-2025,2,Planning,"74,2092",574,Incomplete,7,175,0.7,2,Pending
1771,Planning - Progress Review,2,08-02-2026,4,Planning,"211,1642",486,Complete,1,272,0.1,1,Complete
2872,Meeting - Team Sync,1,07-09-2025,2,Meeting,"1060,2349,1001",521,Complete,6,118,0.6,3,Complete
2493,Meeting - Sprint Planning,3,24-03-2026,6,Meeting,"2436,1268,1108",139,Incomplete,5,316,0.5,3,Pending
1611,Analysis - Performance Tuning,3,10-12-2025,6,Analysis,,588,Incomplete,4,212,0.4,1,Pending
3039,Analysis - Performance Tuning,2,20-08-2025,5,Analysis,"1178,1609,58",476,Incomplete,1,100,0.1,1,Pending
1069,Analysis - Performance Tuning,2,21-11-2025,2,Analysis,,445,Complete,5,193,0.5,3,Complete
269,Meeting - Sprint Planning,1,19-07-2025,8,Meeting,"169,25,1",355,Incomplete,3,68,0.3,2,Pending
3007,Review - Research Paper,3,06-07-2025,4,Review,"974,1188",469,Complete,10,55,1.0,0,Complete
4793,Meeting - Client Call,2,03-11-2025,6,Meeting,3689,376,Complete,8,175,0.8,3,Complete
2768,Analysis - Database Migration,2,03-09-2025,1,Analysis,1993,345,Incomplete,5,114,0.5,2,Pending
4968,Review - Research Paper,2,18-03-2026,5,Review,3544,471,Complete,1,310,0.1,0,Complete
3999,Planning - Resource Allocation,3,28-11-2025,3,Planning,"3834,3088",154,Incomplete,9,200,0.9,2,Pending
1628,Meeting - Retrospective,2,14-09-2025,1,Meeting,,392,Incomplete,8,125,0.8,2,Pending
941,Planning - Progress Review,2,03-01-2026,1,Planning,"138,826",172,Incomplete,9,236,0.9,3,Pending
1581,Review - Research Paper,3,26-08-2025,5,Review,"1555,507",132,Complete,3,106,0.3,0,Complete
4977,Analysis - Database Migration,3,13-11-2025,1,Analysis,1004,552,Incomplete,3,185,0.3,0,Pending
2979,Planning - Progress Review,2,01-07-2025,5,Planning,1223,141,Complete,1,50,0.1,1,Complete
691,Meeting - Client Call,2,01-03-2026,6,Meeting,,389,Incomplete,7,293,0.7,1,Pending
4446,Planning - Budget Report,3,08-02-2026,6,Planning,"3747,2327,3301",325,Incomplete,7,272,0.7,1,Pending
3619,Planning - Progress Review,1,29-12-2025,8,Planning,"1222,1714,962",290,Incomplete,5,231,0.5,3,Pending
2326,Review - Thesis Chapter,1,04-07-2025,4,Review,"1911,2179,2309",377,Incomplete,10,53,1.0,0,Pending
1276,Planning - Budget Report,1,10-05-2025,7,Planning,"1073,738,419",251,Incomplete,10,2,1.0,0,Overdue
4040,Planning - Resource Allocation,1,02-11-2025,7,Planning,255,483,Complete,10,174,1.0,1,Complete
3342,Planning - Resource Allocation,1,23-07-2025,8,Planning,1971,389,Incomplete,7,72,0.7,3,Pending
4029,Planning - Resource Allocation,1,17-08-2025,3,Planning,"3347,2336,2193",403,Complete,9,97,0.9,3,Complete
719,Analysis - Database Migration,1,19-07-2025,1,Analysis,"714,523,262",476,Incomplete,4,68,0.4,2,Pending
981,Planning - Roadmap,3,29-01-2026,1,Planning,560,482,Complete,2,262,0.2,3,Complete
422,Planning - Budget Report,3,26-10-2025,2,Planning,97,194,Incomplete,5,167,0.5,1,Pending
1638,Planning - Roadmap,1,08-11-2025,2,Planning,"992,775,316",260,Incomplete,3,180,0.3,0,Pending
763,Review - Documentation,2,30-05-2025,4,Review,"327,472,42",251,Incomplete,8,18,0.8,2,Pending
4852,Analysis - API Optimization,1,09-11-2025,1,Analysis,"3128,2277",339,Complete,5,181,0.5,2,Complete
4162,Meeting - Sprint Planning,1,08-03-2026,6,Meeting,844,190,Incomplete,9,300,0.9,1,Pending
3940,Review - Documentation,1,16-11-2025,2,Review,"1889,1938",319,Incomplete,10,188,1.0,1,Pending
3894,Review - Research Paper,3,30-01-2026,5,Review,"1646,2995",534,Complete,4,263,0.4,2,Complete
1613,Meeting - Client Call,1,27-10-2025,8,Meeting,355,248,Incomplete,2,168,0.2,2,Pending
388,Planning - Progress Review,3,29-06-2025,5,Planning,"152,150,149",243,Incomplete,10,48,1.0,3,Pending
1056,Review - Research Paper,2,26-07-2025,3,Review,,178,Incomplete,2,75,0.2,3,Pending
637,Review - Experiment Design,3,31-05-2025,8,Review,"578,13,445",286,Incomplete,4,19,0.4,0,Pending
1723,Analysis - API Optimization,3,22-10-2025,6,Analysis,"1112,436",233,Complete,6,163,0.6,2,Complete
4358,Review - Research Paper,3,01-01-2026,4,Review,"940,3236",377,Complete,9,234,0.9,3,Complete
3256,Planning - Progress Review,1,06-05-2025,2,Planning,2133,177,Incomplete,2,6,0.2,2,Overdue
478,Review - Documentation,3,03-03-2026,3,Review,"435,95,243",325,Incomplete,9,295,0.9,0,Pending
2661,Analysis - Performance Tuning,3,15-05-2025,1,Analysis,,468,Complete,4,3,0.4,2,Complete
1736,Analysis - API Optimization,2,11-09-2025,2,Analysis,,141,Incomplete,1,122,0.1,3,Pending
4330,Review - Experiment Design,1,03-02-2026,5,Review,,413,Incomplete,4,267,0.4,3,Pending
457,Analysis - Database Migration,2,18-06-2025,4,Analysis,,249,Complete,10,37,1.0,3,Complete
3816,Review - Experiment Design,2,10-02-2026,6,Review,"3012,1815",441,Incomplete,7,274,0.7,2,Pending
169,Review - Documentation,3,25-12-2025,3,Review,,166,Incomplete,7,227,0.7,2,Pending
272,Planning - Progress Review,2,25-06-2025,7,Planning,,110,Complete,5,44,0.5,0,Complete
4037,Review - Experiment Design,2,04-02-2026,8,Review,1919,213,Complete,6,268,0.6,0,Complete
1179,Planning - Progress Review,2,04-09-2025,5,Planning,,325,Incomplete,6,115,0.6,2,Pending
1840,Planning - Roadmap,2,21-08-2025,6,Planning,,582,Complete,1,101,0.1,1,Complete
1818,Planning - Resource Allocation,1,25-03-2026,6,Planning,,111,Incomplete,8,317,0.8,1,Pending
971,Planning - Roadmap,3,04-01-2026,7,Planning,388,159,Incomplete,9,237,0.9,2,Pending
2996,Review - Experiment Design,1,26-12-2025,7,Review,"2134,308",274,Incomplete,6,228,0.6,3,Pending
4898,Planning - Budget Report,3,16-05-2025,6,Planning,3591,503,Incomplete,9,4,0.9,0,Pending
2004,Planning - Progress Review,3,26-08-2025,6,Planning,,450,Incomplete,2,106,0.2,1,Pending
1038,Meeting - Client Call,1,23-11-2025,5,Meeting,1008,543,Incomplete,4,195,0.4,1,Pending
4490,Planning - Resource Allocation,1,11-06-2025,8,Planning,1059,351,Complete,3,30,0.3,2,Complete
1838,Analysis - Performance Tuning,1,25-04-2025,1,Analysis,1579,584,Incomplete,9,17,0.9,3,Overdue
4757,Analysis - Performance Tuning,3,10-06-2025,8,Analysis,"1071,359",453,Incomplete,8,29,0.8,3,Pending
2674,Review - Thesis Chapter,3,03-06-2025,4,Review,1371,304,Complete,6,22,0.6,3,Complete
2844,Review - Documentation,1,09-01-2026,3,Review,"1620,2561",576,Incomplete,1,242,0.1,2,Pending
3958,Analysis - API Optimization,2,27-10-2025,3,Analysis,1188,376,Incomplete,9,168,0.9,1,Pending
4023,Meeting - Team Sync,1,20-06-2025,5,Meeting,1895,232,Incomplete,5,39,0.5,2,Pending
555,Planning - Resource Allocation,3,13-02-2026,1,Planning,221,168,Complete,7,277,0.7,0,Complete
3489,Planning - Resource Allocation,3,26-10-2025,8,Planning,,405,Incomplete,3,167,0.3,0,Pending
2054,Review - Thesis Chapter,1,17-11-2025,5,Review,,263,Incomplete,7,189,0.7,2,Pending
4986,Review - Research Paper,1,09-11-2025,7,Review,"2302,439,2294",345,Incomplete,1,181,0.1,1,Pending
3327,Analysis - API Optimization,1,20-08-2025,7,Analysis,"2378,1688",571,Incomplete,3,100,0.3,2,Pending
3198,Meeting - Client Call,2,05-09-2025,4,Meeting,"299,1628",151,Incomplete,7,116,0.7,0,Pending
3746,Analysis - API Optimization,1,08-11-2025,4,Analysis,"897,3592",261,Incomplete,2,180,0.2,0,Pending
3510,Analysis - Code Refactoring,3,25-11-2025,4,Analysis,,376,Incomplete,10,197,1.0,1,Pending
339,Meeting - Team Sync,2,28-02-2026,3,Meeting,,376,Incomplete,7,292,0.7,1,Pending
2508,Review - Experiment Design,3,07-01-2026,5,Review,,565,Complete,5,240,0.5,0,Complete
2222,Review - Experiment Design,3,21-08-2025,7,Review,,151,Complete,9,101,0.9,1,Complete
178,Meeting - Retrospective,1,10-12-2025,1,Meeting,101,429,Incomplete,1,212,0.1,3,Pending
4455,Review - Research Paper,3,17-06-2025,3,Review,,344,Complete,6,36,0.6,2,Complete
2006,Analysis - Database Migration,2,27-01-2026,8,Analysis,"929,1528,319",381,Complete,1,260,0.1,2,Complete
4243,Planning - Roadmap,3,16-05-2025,8,Planning,,128,Complete,3,4,0.3,3,Complete
3674,Meeting - Client Call,3,06-03-2026,7,Meeting,237,147,Incomplete,5,298,0.5,1,Pending
1436,Analysis - Performance Tuning,3,13-03-2026,8,Analysis,,541,Incomplete,3,305,0.3,1,Pending
4918,Planning - Progress Review,1,01-07-2025,8,Planning,"4643,3342,4485",317,Complete,8,50,0.8,3,Complete
2278,Planning - Budget Report,2,08-01-2026,5,Planning,,210,Complete,2,241,0.2,2,Complete
2352,Review - Research Paper,2,11-08-2025,3,Review,"190,448,2283",142,Incomplete,2,91,0.2,0,Pending
4692,Meeting - Sprint Planning,1,25-11-2025,5,Meeting,,513,Incomplete,8,197,0.8,1,Pending
2400,Review - Research Paper,3,19-06-2025,3,Review,"447,1530,1836",181,Incomplete,2,38,0.2,0,Pending
4039,Meeting - Sprint Planning,1,19-09-2025,6,Meeting,3446,560,Complete,6,130,0.6,2,Complete
3415,Analysis - Database Migration,1,11-06-2025,1,Analysis,,357,Incomplete,1,30,0.1,0,Pending
3810,Review - Experiment Design,1,24-06-2025,5,Review,"1270,2769,3662",507,Incomplete,9,43,0.9,1,Pending
3779,Review - Thesis Chapter,3,27-08-2025,7,Review,"1494,462,2213",324,Incomplete,2,107,0.2,1,Pending
3592,Meeting - Team Sync,1,31-08-2025,6,Meeting,"1263,3195,874",511,Incomplete,4,111,0.4,2,Pending
2315,Review - Thesis Chapter,2,10-10-2025,4,Review,2009,151,Incomplete,5,151,0.5,1,Pending
541,Planning - Progress Review,2,25-03-2026,4,Planning,"133,228",290,Complete,3,317,0.3,3,Complete
1744,Planning - Roadmap,1,05-09-2025,7,Planning,"201,119,1110",469,Incomplete,6,116,0.6,3,Pending
4269,Planning - Roadmap,2,15-02-2026,1,Planning,1268,209,Incomplete,9,279,0.9,1,Pending
3255,Planning - Progress Review,3,26-11-2025,1,Planning,,452,Complete,7,198,0.7,2,Complete
4745,Planning - Resource Allocation,3,23-10-2025,3,Planning,"3707,3145",292,Complete,5,164,0.5,3,Complete
4945,Planning - Budget Report,2,24-08-2025,7,Planning,,257,Incomplete,3,104,0.3,0,Pending
4531,Meeting - Team Sync,1,28-12-2025,8,Meeting,"3347,3871",426,Complete,3,230,0.3,2,Complete
45,Analysis - Code Refactoring,3,28-04-2025,1,Analysis,,145,Incomplete,6,0,0.6,1,Overdue
620,Analysis - API Optimization,2,31-07-2025,5,Analysis,"263,491,283",186,Incomplete,4,80,0.4,1,Pending
2628,Review - Documentation,3,16-07-2025,5,Review,,347,Incomplete,10,65,1.0,1,Pending
2367,Meeting - Team Sync,1,14-12-2025,8,Meeting,1118,498,Incomplete,2,216,0.2,3,Pending
1029,Analysis - Performance Tuning,2,21-09-2025,8,Analysis,,418,Complete,10,132,1.0,2,Complete
53,Analysis - Code Refactoring,1,28-04-2025,4,Analysis,,153,Complete,4,0,0.4,1,Overdue
318,Review - Documentation,3,01-01-2026,3,Review,,145,Incomplete,1,234,0.1,1,Pending
3974,Meeting - Client Call,1,07-03-2026,8,Meeting,3456,364,Complete,9,299,0.9,1,Complete
1130,Meeting - Team Sync,1,19-11-2025,4,Meeting,202,517,Incomplete,7,191,0.7,0,Pending
1414,Meeting - Client Call,2,15-11-2025,2,Meeting,"1350,916,1344",438,Incomplete,3,187,0.3,3,Pending
1098,Meeting - Team Sync,1,11-07-2025,7,Meeting,"102,229",439,Complete,10,60,1.0,1,Complete
3503,Analysis - Code Refactoring,2,07-02-2026,8,Analysis,"855,1863",503,Incomplete,1,271,0.1,3,Pending
4535,Analysis - API Optimization,1,23-06-2025,3,Analysis,"377,780",105,Incomplete,10,42,1.0,0,Pending
3208,Planning - Roadmap,1,26-01-2026,8,Planning,1740,461,Incomplete,2,259,0.2,2,Pending
634,Planning - Roadmap,2,24-07-2025,4,Planning,"412,215",138,Complete,10,73,1.0,1,Complete
1534,Analysis - Performance Tuning,3,01-04-2025,5,Analysis,"40,1066",591,Incomplete,4,41,0.4,3,Overdue
3916,Planning - Resource Allocation,2,18-10-2025,7,Planning,"2596,1094",130,Incomplete,4,159,0.4,0,Pending
4953,Review - Research Paper,1,06-02-2026,1,Review,"1432,2130",479,Incomplete,1,270,0.1,0,Pending
3875,Planning - Progress Review,1,26-02-2026,4,Planning,"611,695",457,Complete,3,290,0.3,3,Complete
1863,Planning - Resource Allocation,1,31-12-2025,5,Planning,,584,Complete,5,233,0.5,3,Complete
360,Analysis - API Optimization,2,22-11-2025,3,Analysis,268,223,Incomplete,3,194,0.3,3,Pending
3922,Planning - Roadmap,3,30-09-2025,6,Planning,"166,2223,3600",586,Incomplete,4,141,0.4,1,Pending
2945,Meeting - Sprint Planning,1,23-10-2025,7,Meeting,1341,585,Complete,9,164,0.9,1,Complete
931,Meeting - Sprint Planning,2,26-04-2025,1,Meeting,"162,729",519,Incomplete,1,16,0.1,1,Overdue
4839,Planning - Resource Allocation,3,20-11-2025,7,Planning,"977,3273",324,Incomplete,1,192,0.1,1,Pending
1183,Meeting - Team Sync,2,07-05-2025,3,Meeting,"510,1052",211,Incomplete,9,5,0.9,2,Overdue
982,Review - Thesis Chapter,1,11-11-2025,3,Review,724,205,Incomplete,10,183,1.0,0,Pending
742,Analysis - Database Migration,3,27-03-2026,4,Analysis,"430,282,284",318,Complete,3,319,0.3,1,Complete
630,Meeting - Retrospective,2,01-05-2025,7,Meeting,"84,284,498",480,Incomplete,2,11,0.2,2,Overdue
